timestamp,open,high,low,close
2024-01-01T22:00:00+00:00,140.843,140.852,140.843,140.852
2024-01-01T23:00:00+00:00,140.852,140.961,140.839,140.876
2024-01-02T00:00:00+00:00,140.878,141.13,140.811,141.118
2024-01-02T01:00:00+00:00,141.117,141.378,141.103,141.181
2024-01-02T02:00:00+00:00,141.179,141.456,141.151,141.423
2024-01-02T03:00:00+00:00,141.425,141.669,141.364,141.578
2024-01-02T04:00:00+00:00,141.579,141.665,141.484,141.496
2024-01-02T05:00:00+00:00,141.494,141.585,141.459,141.528
2024-01-02T06:00:00+00:00,141.527,141.527,141.335,141.362
2024-01-02T07:00:00+00:00,141.36,141.55,141.351,141.526
2024-01-02T08:00:00+00:00,141.524,141.604,141.387,141.516
2024-01-02T09:00:00+00:00,141.515,141.592,141.29,141.512
2024-01-02T10:00:00+00:00,141.513,141.672,141.377,141.521
2024-01-02T11:00:00+00:00,141.52,141.771,141.504,141.635
2024-01-02T12:00:00+00:00,141.636,141.887,141.59,141.813
2024-01-02T13:00:00+00:00,141.813,142.216,141.791,142.094
2024-01-02T14:00:00+00:00,142.095,142.175,141.885,142.079
2024-01-02T15:00:00+00:00,142.079,142.087,141.499,141.527
2024-01-02T16:00:00+00:00,141.527,142.015,141.5,141.923
2024-01-02T17:00:00+00:00,141.921,141.998,141.711,141.89
2024-01-02T18:00:00+00:00,141.89,141.998,141.886,141.969
2024-01-02T19:00:00+00:00,141.969,142.001,141.847,141.944
2024-01-02T20:00:00+00:00,141.944,142.0,141.901,141.952
2024-01-02T21:00:00+00:00,141.952,141.992,141.803,141.99
2024-01-02T22:00:00+00:00,141.989,142.017,141.943,141.961
2024-01-02T23:00:00+00:00,141.961,142.075,141.856,142.044
2024-01-03T00:00:00+00:00,142.043,142.181,142.043,142.155
2024-01-03T01:00:00+00:00,142.163,142.163,141.858,141.954
2024-01-03T02:00:00+00:00,141.954,142.135,141.907,142.024
2024-01-03T03:00:00+00:00,142.023,142.063,141.984,142.032
2024-01-03T04:00:00+00:00,142.033,142.041,141.868,141.87
2024-01-03T05:00:00+00:00,141.871,141.943,141.858,141.905
2024-01-03T06:00:00+00:00,141.91,142.132,141.906,142.102
2024-01-03T07:00:00+00:00,142.104,142.131,142.01,142.048
